# Uraninite                                                      Feff 8.50L  
# Wyckoff, R. W. G.
# Second edition. Interscience Publishers, New York, New York
# Fluorite structure
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
# Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
# Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
# Gam_ch=8.104E+00 H-L exch
# Mu=-8.114E+00 kf=2.112E+00 Vint=-1.836E+01 Rs_int= 1.717
# PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.909                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3678
#           2       0.00000      7.81     24.00     3   3.7349
#           3       0.00000     55.64     12.00     2   3.8666
#           4       0.00000      8.54     24.00     3   4.3011
#           5       0.00000      9.11     48.00     3   4.3011
#           6       0.00000     31.04     24.00     2   4.5340
#           7       0.00000      5.77      8.00     3   4.7356
#           8       0.00000     17.88      8.00     4   4.7356
#           9       0.00000      5.91      8.00     4   4.7356
#          10       0.00000      6.21     24.00     4   4.7356
#          11       0.00000     13.45     48.00     3   4.8179
#          12       0.00000      4.51     24.00     4   5.1019
#          13       0.00000      7.49     96.00     3   5.3842
#          14       0.00000      4.84     96.00     3   5.3842
#          15       0.00000     15.29     96.00     3   5.3842
#          16       0.00000     10.03      6.00     2   5.4682
#    16/  16 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    13.3500    6.320798E-03  1.094697E-02  6.344740E+01
    13.4000    9.963588E-03  1.183524E-02  6.383257E+01
    13.4500    1.246540E-02  1.268976E-02  6.421433E+01
    13.5000    1.324471E-02  1.348888E-02  6.459321E+01
    13.5500    1.198868E-02  1.421282E-02  6.496966E+01
    13.6000    8.738432E-03  1.484408E-02  6.534402E+01
    13.6500    3.904460E-03  1.536791E-02  6.571656E+01
    13.7000   -1.794840E-03  1.577260E-02  6.608749E+01
    13.7500   -7.460874E-03  1.604975E-02  6.645692E+01
    13.8000   -1.218255E-02  1.619447E-02  6.682494E+01
    13.8500   -1.520806E-02  1.620548E-02  6.719157E+01
    13.9000   -1.608384E-02  1.608510E-02  6.755677E+01
    13.9500   -1.473126E-02  1.583921E-02  6.792049E+01
    14.0000   -1.144656E-02  1.547706E-02  6.828259E+01
    14.0500   -6.846699E-03  1.501080E-02  6.864141E+01
    14.1000   -1.686751E-03  1.445732E-02  6.899810E+01
    14.1500    3.252350E-03  1.383369E-02  6.935236E+01
    14.2000    7.308323E-03  1.315901E-02  6.970386E+01
    14.2500    1.003680E-02  1.245392E-02  7.005226E+01
    14.3000    1.125450E-02  1.174007E-02  7.039722E+01
    14.3500    1.102419E-02  1.103952E-02  7.073853E+01
    14.4000    9.593884E-03  1.037403E-02  7.107613E+01
    14.4500    7.312092E-03  9.764279E-03  7.141029E+01
    14.5000    4.544732E-03  9.228945E-03  7.174174E+01
    14.5500    1.614675E-03  8.783784E-03  7.207176E+01
    14.6000   -1.224506E-03  8.440815E-03  7.240221E+01
    14.6500   -3.781420E-03  8.207837E-03  7.273542E+01
    14.7000   -5.898324E-03  8.088466E-03  7.307382E+01
    14.7500   -7.419689E-03  8.082762E-03  7.341955E+01
    14.8000   -8.176574E-03  8.188230E-03  7.377406E+01
    14.8500   -7.999163E-03  8.400828E-03  7.413791E+01
    14.9000   -6.759018E-03  8.715619E-03  7.451071E+01
    14.9500   -4.430517E-03  9.126908E-03  7.489136E+01
    15.0000   -1.151557E-03  9.627959E-03  7.527833E+01
    15.0500    2.722191E-03  1.019927E-02  7.566840E+01
    15.1000    6.674976E-03  1.083898E-02  7.606166E+01
    15.1500    1.005480E-02  1.153544E-02  7.645677E+01
    15.2000    1.219208E-02  1.227512E-02  7.685264E+01
    15.2500    1.253697E-02  1.304286E-02  7.724845E+01
    15.3000    1.079428E-02  1.382224E-02  7.764365E+01
    15.3500    7.022415E-03  1.459608E-02  7.803789E+01
    15.4000    1.667503E-03  1.534699E-02  7.843095E+01
    15.4500   -4.482751E-03  1.605789E-02  7.882274E+01
    15.5000   -1.042297E-02  1.671253E-02  7.921324E+01
    15.5500   -1.511056E-02  1.729595E-02  7.960247E+01
    15.6000   -1.766662E-02  1.779488E-02  7.999048E+01
    15.6500   -1.755468E-02  1.819813E-02  8.037733E+01
    15.7000   -1.469741E-02  1.849684E-02  8.076308E+01
    15.7500   -9.504309E-03  1.868469E-02  8.114777E+01
    15.8000   -2.802464E-03  1.875807E-02  8.153145E+01
    15.8500    4.316195E-03  1.871615E-02  8.191412E+01
    15.9000    1.069916E-02  1.856083E-02  8.229577E+01
    15.9500    1.534618E-02  1.829673E-02  8.267637E+01
    16.0000    1.758648E-02  1.793104E-02  8.305585E+01
    16.0500    1.719648E-02  1.748411E-02  8.343384E+01
